0,1,2,3,4,5,6,7,8,month
10:30p,Minnesota Timberwolves,121,Los Angeles Lakers,137,Box Score,,0,,March
7:00p,Toronto Raptors,112,Detroit Pistons,116,Box Score,,750,,March
7:00p,Brooklyn Nets,124,Indiana Pacers,115,Box Score,,0,,March
7:00p,Milwaukee Bucks,109,Philadelphia 76ers,105,Box Score,OT,"3,071",,March
7:00p,Sacramento Kings,121,Washington Wizards,119,Box Score,,0,,March
8:00p,San Antonio Spurs,106,Chicago Bulls,99,Box Score,,0,,March
8:00p,Boston Celtics,110,Cleveland Cavaliers,117,Box Score,,"4,100",,March
8:00p,Golden State Warriors,108,Houston Rockets,94,Box Score,,"3,259",,March
9:00p,Charlotte Hornets,104,Denver Nuggets,129,Box Score,,0,,March
9:00p,Miami Heat,85,Memphis Grizzlies,89,Box Score,,"2,217",,March
9:30p,Los Angeles Clippers,89,Dallas Mavericks,105,Box Score,,"3,975",,March
7:00p,Utah Jazz,122,Washington Wizards,131,Box Score,,0,,March
7:30p,Oklahoma City Thunder,93,Atlanta Hawks,116,Box Score,,"2,621",,March
7:30p,Orlando Magic,93,New York Knicks,94,Box Score,,"1,531",,March
10:00p,Minnesota Timberwolves,123,Phoenix Suns,119,Box Score,,"3,172",,March
10:00p,New Orleans Pelicans,93,Portland Trail Blazers,101,Box Score,,0,,March
10:30p,Charlotte Hornets,105,Los Angeles Lakers,116,Box Score,,0,,March
,,,,,,,,,March
7:30p,Sacramento Kings,107,Boston Celtics,96,Box Score,,0,,March
7:30p,San Antonio Spurs,116,Cleveland Cavaliers,110,Box Score,,0,,March
8:00p,Detroit Pistons,113,Houston Rockets,100,Box Score,,"3,061",,March
8:00p,Golden State Warriors,116,Memphis Grizzlies,103,Box Score,,"2,716",,March
8:00p,Indiana Pacers,137,Miami Heat,110,Box Score,,0,,March
8:00p,Brooklyn Nets,113,Orlando Magic,121,Box Score,,"3,665",,March
8:00p,Utah Jazz,115,Toronto Raptors,112,Box Score,,0,,March
9:00p,Chicago Bulls,127,Denver Nuggets,131,Box Score,OT,0,,March
10:00p,Minnesota Timberwolves,101,Phoenix Suns,113,Box Score,,"3,124",,March
10:00p,Dallas Mavericks,119,Portland Trail Blazers,125,Box Score,,0,,March
3:30p,Atlanta Hawks,99,Los Angeles Lakers,94,Box Score,,0,,March
8:00p,Golden State Warriors,103,Memphis Grizzlies,111,Box Score,,0,,March
8:00p,Sacramento Kings,105,Philadelphia 76ers,129,Box Score,,"3,071",,March
9:00p,San Antonio Spurs,113,Milwaukee Bucks,120,Box Score,,"3,280",,March
10:00p,Charlotte Hornets,98,Los Angeles Clippers,125,Box Score,,0,,March
1:00p,Indiana Pacers,109,Miami Heat,106,Box Score,OT,0,,March
2:00p,Oklahoma City Thunder,114,Houston Rockets,112,Box Score,,"3,297",,March
3:00p,New Orleans Pelicans,113,Denver Nuggets,108,Box Score,,0,,March
3:30p,Orlando Magic,96,Boston Celtics,112,Box Score,,0,,March
7:00p,Washington Wizards,106,Brooklyn Nets,113,Box Score,,"1,773",,March
7:00p,Toronto Raptors,105,Cleveland Cavaliers,116,Box Score,,0,,March
7:00p,Chicago Bulls,100,Detroit Pistons,86,Box Score,,750,,March
8:00p,Philadelphia 76ers,101,New York Knicks,100,Box Score,OT,"1,981",,March
10:00p,Los Angeles Lakers,94,Phoenix Suns,111,Box Score,,"3,190",,March
